,X.1,X,site.name,X1,mean_aqi_2015_from2.5,mean_pm2.5_2015_from2.5,n.obs_2015_from2.5,mean_aqi_2015_from10,mean_pm10_2015_from10,n.obs_2015_from10,mean_aqi_2016_from2.5,mean_pm2.5_2016_from2.5,n.obs_2016_from2.5,mean_aqi_2016_from10,mean_pm10_2016_from10,n.obs_2016_from10,mean_aqi_2017_from2.5,mean_pm2.5_2017_from2.5,n.obs_2017_from2.5,mean_aqi_2017_from10,mean_pm10_2017_from10,n.obs_2017_from10,mean_aqi_2018_from2.5,mean_pm2.5_2018_from2.5,n.obs_2018_from2.5,mean_aqi_2018_from10,mean_pm10_2018_from10,n.obs_2018_from10,mean_aqi_2019_from2.5,mean_pm2.5_2019_from2.5,n.obs_2019_from2.5,mean_aqi_2019_from10,mean_pm10_2019_from10,n.obs_2019_from10,mean_aqi_2020_from2.5,mean_pm2.5_2020_from2.5,n.obs_2020_from2.5,mean_aqi_2020_from10,mean_pm10_2020_from10,n.obs_2020_from10,interstate,distance_feet,distance_mi,name_pp,active_flag,fuel_type,PP_distance_feet,PP_distance_mi,med_income,pop_density,mean_pm2.5_2021_from2.5
1,1,1,Andersen School,1,30.8156682,7.5,217,NA,NA,NA,28.49156118,7.051687764,474,NA,NA,NA,29.96875,7.389375,480,NA,NA,NA,33.79245283,8.478825996,477,NA,NA,NA,31.75,7.960576923,416,NA,NA,NA,34.58241758,8.586813187,364,NA,NA,NA,35W,2977.52,0.563924242,Hennepin County Energy Center,Y,Natural gas,6852.65657,1.298129059,26224,14118.09645,7.828824834
2,2,2,Andersen Windows North,2,30.8559322,7.687853107,354,22.28611898,24.25495751,353,36.99328859,9.293959732,149,20.34756098,22.15853659,328,34.83806818,8.706534091,352,24.43785311,26.83898305,354,33.53428571,8.379428571,350,28.64,32.23428571,350,28.04444444,7.091111111,90,20.79220779,22.72727273,77,NA,NA,NA,NA,NA,NA,94,22704,4.3,Xcel Energy - Allen S King Generating Plant,Y,Coal,2064.804407,0.391145036,39688,1328.681492,NA
3,3,3,Andersen Windows South,3,33.34693878,8.306377551,392,13.25706215,14.3559322,354,27.39226519,6.820994475,181,12.48285714,13.5,350,21.58530184,5.202624672,381,17.1160221,18.51381215,362,29.27576602,7.30724234,359,16.27576602,17.56545961,359,48.30208333,12.72083333,96,13.3372093,14.44186047,86,NA,NA,NA,NA,NA,NA,94,21542.4,4.08,Xcel Energy - Allen S King Generating Plant,Y,Coal,3032.024883,0.574369891,39688,1328.681492,NA
4,4,4,Anoka County Airport,4,24.15010571,5.872515856,473,13.44537815,14.56582633,357,25.96746204,6.411713666,461,11.71810089,12.71513353,337,30.49159664,7.518067227,476,11.76966292,12.74157303,356,31.86373626,7.964615385,455,12.54189944,13.51675978,358,26.95064378,6.704935622,466,11.09770115,11.98563218,348,25.14929577,6.148732394,355,11.84883721,12.81686047,344,35W,8923.2,1.69,Xcel Energy - Riverside Generating Plant,Y,Natural gas,46383.37581,8.786608139,NA,933.1343383,7.451605505
5,5,5,Apple Valley,5,26.34731935,6.437296037,429,NA,NA,NA,27.58262712,6.801271186,472,NA,NA,NA,28.49579832,6.990546218,476,NA,NA,NA,30.18454936,7.457296137,466,NA,NA,NA,27.64164649,6.900968523,413,NA,NA,NA,31.12044818,7.636134454,357,NA,NA,NA,35E,7814.4,1.48,Pine Bend Energy LLC,Y,Landfill Gas,49778.50346,9.429762193,31462,3272.815421,6.445125348
6,6,6,B.F. Pearson School,6,27.31932773,6.63697479,119,NA,NA,NA,25.4214876,6.219008264,121,NA,NA,NA,26.30833333,6.430833333,120,NA,NA,NA,27.68,6.873333333,150,NA,NA,NA,27.54084507,6.822253521,355,NA,NA,NA,23.72067039,5.79273743,358,NA,NA,NA,494,35006.4,6.63,Koda Energy LLC,Y,Biomass,7206.030495,1.365070245,29260,4648.770037,6.581524927
7,7,7,Ben Franklin School,7,28.60805085,7.020550847,472,NA,NA,NA,25.18297872,6.166170213,470,NA,NA,NA,28.82378855,7.060792952,454,NA,NA,NA,33.75692964,8.403411514,469,NA,NA,NA,30.20623501,7.528776978,417,NA,NA,NA,22.92032967,5.591483516,364,NA,NA,NA,90,28512,5.4,RPU - IBM Peaking Diesel Generators,Y,Diesel,27556.71662,5.220190775,32335,2561.90174,5.637891738
8,8,8,Blue Mounds,8,25.4789916,6.272268908,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Worthington Diesel Generating Plant,Y,Diesel,2389904.98,452.7302763,33831,7.727286514,NA
9,9,9,Bottineau / Marshall Terrace,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.0438247,7.407968127,251,NA,NA,NA,33.50828729,8.382320442,181,19,20.48447205,161,NA,NA,NA,17.36088154,18.79063361,363,NA,NA,NA,18.64285714,20.2032967,364,94,2634.17,0.498895833,Xcel Energy - Riverside Generating Plant,Y,Natural gas,2844.477073,0.53884188,38230,1570.89415,NA
10,10,10,Boundary Waters,10,20.22669492,4.950635593,472,NA,NA,NA,12.17173913,2.902391304,460,NA,NA,NA,14.21982759,3.407974138,464,NA,NA,NA,13.87662338,3.409307359,462,NA,NA,NA,15.92407809,3.845986985,461,NA,NA,NA,21.21553885,5.076942356,399,NA,NA,NA,35,448800,85,Minnesota Power - Laskin Energy Center,Y,Coal,214715.9427,40.6745912,NA,2.266048146,4.412289157
