"","site.name","SITE_LATITUDE","SITE_LONGITUDE","mean_pm2.5_2019_from2.5","interstate","distance_mi","name_pp","fuel_type","PP_distance_mi","med_income","pop_density","icon","text","lat","lng","site.id","PP.distance","active_flag","activity","PP_address","long"
"1","Andersen School",44.9536600009432,-93.25821,7.96057692307692,"35W",0.563924242424242,"Hennepin County Energy Center","Natural gas",1.29812905886751,26224,14118.0964494347,"site","Site: Andersen School; Median Household Income: $26,224; Population Density: 14118 persons per square mile",44.9536600009432,-93.25821,NA,NA,NA,NA,NA,NA
"2","Andersen Windows North",45.02862,-92.78336,7.09111111111111,"94",4.3,"Xcel Energy - Allen S King Generating Plant","Coal",0.391145036178156,39688,1328.68149216878,"site","Site: Andersen Windows North; Median Household Income: $39,688; Population Density: 1329 persons per square mile",45.02862,-92.78336,NA,NA,NA,NA,NA,NA
"3","Andersen Windows South",45.02124,-92.77525,12.7208333333333,"94",4.08,"Xcel Energy - Allen S King Generating Plant","Coal",0.574369891040304,39688,1328.68149216878,"site","Site: Andersen Windows South; Median Household Income: $39,688; Population Density: 1329 persons per square mile",45.02124,-92.77525,NA,NA,NA,NA,NA,NA
"4","Anoka County Airport",45.1376795361548,-93.207614975211,6.7049356223176,"35W",1.69,"Xcel Energy - Riverside Generating Plant","Natural gas",8.78660813887514,NA,933.134338328676,"site","Site: Anoka County Airport; Median Household Income: NA; Population Density: 933 persons per square mile",45.1376795361548,-93.207614975211,NA,NA,NA,NA,NA,NA
"5","Apple Valley",44.7384600009432,-93.23725,6.90096852300242,"35E",1.48,"Pine Bend Energy LLC","Landfill Gas",9.4297621925138,31462,3272.8154207567,"site","Site: Apple Valley; Median Household Income: $31,462; Population Density: 3273 persons per square mile",44.7384600009432,-93.23725,NA,NA,NA,NA,NA,NA
"6","B.F. Pearson School",44.7914370009432,-93.512534,6.82225352112676,"494",6.63,"Koda Energy LLC","Biomass",1.36507024528168,29260,4648.77003673498,"site","Site: B.F. Pearson School; Median Household Income: $29,260; Population Density: 4649 persons per square mile",44.7914370009432,-93.512534,NA,NA,NA,NA,NA,NA
"7","Ben Franklin School",43.996908,-92.450366,7.52877697841727,"90",5.4,"RPU - IBM Peaking Diesel Generators","Diesel",5.22019077534259,32335,2561.90173992393,"site","Site: Ben Franklin School; Median Household Income: $32,335; Population Density: 2562 persons per square mile",43.996908,-92.450366,NA,NA,NA,NA,NA,NA
"8","Boundary Waters",47.948622,-91.495574,3.84598698481562,"35",85,"Minnesota Power - Laskin Energy Center","Coal",40.6745911956362,NA,2.26604814622607,"site","Site: Boundary Waters; Median Household Income: NA; Population Density: 2 persons per square mile",47.948622,-91.495574,NA,NA,NA,NA,NA,NA
"9","Brainerd Lakes Regional Airport",46.396740000942,-94.1303,4.31699164345404,"94",55.38,"SMMPA Methane Energy Facility","Landfill Gas",53.3351385614926,NA,37.263498543287,"site","Site: Brainerd Lakes Regional Airport; Median Household Income: NA; Population Density: 37 persons per square mile",46.396740000942,-94.1303,NA,NA,NA,NA,NA,NA
"10","Fond du Lac Band",46.7136940009414,-92.511722,3.1453488372093,"35",3.02,"Duluth Steam Plant 1","Coal",20.2426526667266,29324,35.7399097512674,"site","Site: Fond du Lac Band; Median Household Income: $29,324; Population Density: 36 persons per square mile",46.7136940009414,-92.511722,NA,NA,NA,NA,NA,NA
